pmid,pmcid,year,title,abstract,journal,authors,MeSH terms used,Title & Abstract terms used
18780302,PMC2751631,2009,Association studies of 22 candidate SNPs with late-onset Alzheimer's disease.,"Alzheimer's disease (AD) is a complex and multifactorial disease with the possible involvement of several genes. With the exception of the APOE gene as a susceptibility marker, no other genes have been shown consistently to be associated with late-onset AD (LOAD). A recent genome-wide association study of 17,343 gene-based putative functional single nucleotide polymorphisms (SNPs) found 19 significant variants, including 3 linked to APOE, showing association with LOAD (Hum Mol Genet 2007; 16:865-873). We have set out to replicate the 16 new significant associations in a large case-control cohort of American Whites. Additionally, we examined six variants present in positional and/or biological candidate genes for AD. We genotyped the 22 SNPs in up to 1,009 Caucasian Americans with LOAD and up to 1,010 age-matched healthy Caucasian Americans, using 5' nuclease assays. We did not observe a statistically significant association between the SNPs and the risk of AD, either individually or stratified by APOE. Our data suggest that the association of the studied variants with LOAD risk, if it exists, is not statistically significant in our sample.","American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics","Figgins, Jessica A,Minster, Ryan L,Demirci, F Yesim,Dekosky, Steven T,Kamboh, M Ilyas","Alzheimer Disease/genetics,Polymorphism, Single Nucleotide","late-onset,genome-wide,single nucleotide polymorphism,apoe,ad,AD,SNP,genome-wide association,polymorphisms,Alzheimer"
18853455,PMC2793088,2009,Whole genome survey of coding SNPs reveals a reproducible pathway determinant of Parkinson disease.,"It is quickly becoming apparent that situating human variation in a pathway context is crucial to understanding its phenotypic significance. Toward this end, we have developed a general method for finding pathways associated with traits that control for pathway size. We have applied this method to a new whole genome survey of coding SNP variation in 187 patients afflicted with Parkinson disease (PD) and 187 controls. We show that our dataset provides an independent replication of the axon guidance association recently reported by Lesnick et al. [PLoS Genet 2007;3:e98], and also indicates that variation in the ubiquitin-mediated proteolysis and T-cell receptor signaling pathways may predict PD susceptibility. Given this result, it is reasonable to hypothesize that pathway associations are more replicable than individual SNP associations in whole genome association studies. However, this hypothesis is complicated by a detailed comparison of our dataset to the second recent PD association study by Fung et al. [Lancet Neurol 2006;5:911-916]. Surprisingly, we find that the axon guidance pathway does not rank at the very top of the Fung dataset after controlling for pathway size. More generally, in comparing the studies, we find that SNP frequencies replicate well despite technologically different assays, but that both SNP and pathway associations are globally uncorrelated across studies. We thus have a situation in which an association between axon guidance pathway variation and PD has been found in 2 out of 3 studies. We conclude by relating this seeming inconsistency to the molecular heterogeneity of PD, and suggest future analyses that may resolve such discrepancies.",Human mutation,"Srinivasan, Balaji S,Doostzadeh, Jaleh,Absalan, Farnaz,Mohandessi, Sharareh,Jalili, Roxana,Bigdeli, Saharnaz,Wang, Justin,Mahadevan, Jaydev,Lee, Caroline L G,Davis, Ronald W,William Langston, J,Ronaghi, Mostafa","Genome-Wide Association Study,Parkinson Disease/genetics,Polymorphism, Single Nucleotide","SNP,Parkinson Disease"
18985386,PMC2627511,2009,Genomewide association study for susceptibility genes contributing to familial Parkinson disease.,"Five genes have been identified that contribute to Mendelian forms of Parkinson disease (PD); however, mutations have been found in fewer than 5% of patients, suggesting that additional genes contribute to disease risk. Unlike previous studies that focused primarily on sporadic PD, we have performed the first genomewide association study (GWAS) in familial PD. Genotyping was performed with the Illumina HumanCNV370Duo array in 857 familial PD cases and 867 controls. A logistic model was employed to test for association under additive and recessive modes of inheritance after adjusting for gender and age. No result met genomewide significance based on a conservative Bonferroni correction. The strongest association result was with SNPs in the GAK/DGKQ region on chromosome 4 (additive model: p = 3.4 x 10(-6); OR = 1.69). Consistent evidence of association was also observed to the chromosomal regions containing SNCA (additive model: p = 5.5 x 10(-5); OR = 1.35) and MAPT (recessive model: p = 2.0 x 10(-5); OR = 0.56). Both of these genes have been implicated previously in PD susceptibility; however, neither was identified in previous GWAS studies of PD. Meta-analysis was performed using data from a previous case-control GWAS, and yielded improved p values for several regions, including GAK/DGKQ (additive model: p = 2.5 x 10(-7)) and the MAPT region (recessive model: p = 9.8 x 10(-6); additive model: p = 4.8 x 10(-5)). These data suggest the identification of new susceptibility alleles for PD in the GAK/DGKQ region, and also provide further support for the role of SNCA and MAPT in PD susceptibility.",Human genetics,"Pankratz, Nathan,Wilk, Jemma B,Latourelle, Jeanne C,DeStefano, Anita L,Halter, Cheryl,Pugh, Elizabeth W,Doheny, Kimberly F,Gusella, James F,Nichols, William C,Foroud, Tatiana,Myers, Richard H","Parkinson Disease/genetics,Polymorphism, Single Nucleotide,tau Proteins/genetics","ad,AD,Parkinson Disease,SNP,meta-analysis,GWAS"
19035514,PMC3062902,2009,Evidence supporting a role for the calcium-sensing receptor in Alzheimer disease.,"The calcium-sensing receptor (CASR) is a G-protein coupled, transmembrane receptor that responds to changes in Ca(2+) levels. We hypothesized that the CASR could have a role in Alzheimer disease (AD) given expression of the CASR in brain, knowledge that calcium dysregulation promotes susceptibility to neuronal cell damage, the important role that the CASR plays in calcium regulation, and the fact that systemic calcium homeostasis and G-protein signal transduction are altered in AD patients. To investigate the association of CASR variation in AD susceptibility, we genotyped a polymorphic dinucleotide repeat marker within intron 4, one SNP within the promoter region and three non-synonymous SNPs within exon 7 of the CASR gene and tested for association analysis, using a well-characterized cohort of AD cases (n = 692) and controls (n = 435). The dinucleotide repeat polymorphism was significantly associated with AD status (OR = 1.62; 95% CI: 1.27-2.07, P = 0.00037, Bonferroni corrected P = 0.0011) and the three non-synonymous SNP haplotype was boarderline associated with AD status (P = 0.032, Bonferroni corrected P = 0.096). Stratifying by APOE4 allele carrier status revealed that the significant association was only in non-APOE4 carriers (OR of 1.90; 95% CI: 1.37-2.62, P = 0.0001). We also investigated whether apoE or beta amyloid could activate the calcium-sensing receptor. The receptor activation assays revealed that apoE as well as beta amyloid activated the CASR and that the level of activation appeared to be isoform dependent for apoE. These data support our hypothesis that the CASR has a role in AD susceptibility, particularly in individuals without an APOE4 allele.","American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics","Conley, Yvette P,Mukherjee, Ankur,Kammerer, Candace,DeKosky, Steven T,Kamboh, M Ilyas,Finegold, David N,Ferrell, Robert E","Alzheimer Disease/genetics,Polymorphism, Single Nucleotide","ad,apoe,AD,SNP,Alzheimer"
19111404,PMC2844896,2009,Associations of glutamate decarboxylase genes with initial sensitivity and age-at-onset of alcohol dependence in the Irish Affected Sib Pair Study of Alcohol Dependence.,"The relation of gamma-aminobutyric acid (GABA) to alcohol dependence (AD) has been widely studied. Several previous studies suggest that GABA may be involved in alcohol withdrawal, tolerance, and the symptoms that form an AD diagnosis. The genes coding for glutamate decarboxylase (GAD), the rate-limiting enzyme in GABA synthesis, are of potential interest for their association to ethanol consumption and AD. There are two isoforms of GAD, GAD1 and GAD2, which were reported to be associated with AD in males of Han Taiwanese (GAD1) and Russian (GAD2) ancestry. The present study examined the association of the two GAD isoforms with AD and relevant alcohol-related traits in the Irish Affected Sib Pair Study of Alcohol Dependence [Prescott, C.A., Sullivan, P.F., Myers, J.M., Patterson, D.G., Devitt, M., Halberstadt, L.J., Walsh, D., Kendler, K.S., 2005. The Irish Affected Sib Pair Study of Alcohol Dependence: study methodology and validation of diagnosis by interview and family history. Alcohol.-Clin. Exp. Res. 29 (3) 417-429]. Participants were recruited in Ireland, including 575 independent cases who met DSM-IV AD criteria and 530 controls, screened for heavy drinking. We first conducted case-control analyses of the GAD genes with AD and, within the cases, examined associations with age at onset of AD, withdrawal symptoms, and two quantitative measures: initial sensitivity and tolerance (based on scales from the Self-Rating of the Effects of Ethanol) [Schuckit, M.A., Smith, T.L., Tipp, J.E., 1997. The self-rating of the effects of alcohol (SRE) form as a retrospective measure of the risk for alcoholism. Addiction 92, 979-988]. A total of 29 SNPs were genotyped for GAD1 and GAD2 using the Illumina GoldenGate protocols. Statistical procedures were implemented to control for false discovery rates (FDR). Nine of 29 markers with minor allele frequencies less than 0.01 were removed from standard analysis; the remaining 20 markers were all in Hardy-Weinberg equilibrium. Three markers in the intronic regions of GAD1 were associated with initial sensitivity to alcohol (P=0.002); the associations remained significant after a FDR based correction for multiple testing. In addition, one marker located 3kb upstream of GAD1 exhibited association with age at onset of AD (P=0.0001). Gender specific effects were observed in results of both single marker and haplotype analyses. We found no evidence for the association of GAD genes with AD but significant association of GAD1 with initial sensitivity and age at onset of AD. Our findings suggest that the underlying pathophysiology regulated by genes like GAD1 may be more directly related to the component processes that form AD than to the clinical disorder.",Drug and alcohol dependence,"Kuo, Po-Hsiu,Kalsi, Gursharan,Prescott, Carol A,Hodgkinson, Colin A,Goldman, David,Alexander, Jeffry,van den Oord, Edwin J,Chen, Xiangning,Sullivan, Patrick F,Patterson, Diana G,Walsh, Dermot,Kendler, Kenneth S,Riley, Brien P",,"ad,AD,SNP"
19134182,PMC2642772,2009,MegaSNPHunter: a learning approach to detect disease predisposition SNPs and high level interactions in genome wide association study.,"The interactions of multiple single nucleotide polymorphisms (SNPs) are highly hypothesized to affect an individual's susceptibility to complex diseases. Although many works have been done to identify and quantify the importance of multi-SNP interactions, few of them could handle the genome wide data due to the combinatorial explosive search space and the difficulty to statistically evaluate the high-order interactions given limited samples. Three comparative experiments are designed to evaluate the performance of MegaSNPHunter. The first experiment uses synthetic data generated on the basis of epistasis models. The second one uses a genome wide study on Parkinson disease (data acquired by using Illumina HumanHap300 SNP chips). The third one chooses the rheumatoid arthritis study from Wellcome Trust Case Control Consortium (WTCCC) using Affymetrix GeneChip 500K Mapping Array Set. MegaSNPHunter outperforms the best solution in this area and reports many potential interactions for the two real studies. The experimental results on both synthetic data and two real data sets demonstrate that our proposed approach outperforms the best solution that is currently available in handling large-scale SNP data both in terms of speed and in terms of detection of potential interactions that were not identified before. To our knowledge, MegaSNPHunter is the first approach that is capable of identifying the disease-associated SNP interactions from WTCCC studies and is promising for practical disease prognosis.",BMC bioinformatics,"Wan, Xiang,Yang, Can,Yang, Qiang,Xue, Hong,Tang, Nelson L S,Yu, Weichuan","Genome-Wide Association Study,Parkinson Disease/genetics,Polymorphism, Single Nucleotide","polymorphisms,single nucleotide polymorphism,SNP,Parkinson Disease"
19204163,PMC2841135,2009,GAB2 as an Alzheimer disease susceptibility gene: follow-up of genomewide association results.,"Genomewide association (GWA) studies have recently implicated 4 novel Alzheimer disease (AD) susceptibility loci (GAB2, GOLM1, and 2 uncharacterized loci to date on chromosomes 9p and 15q). To our knowledge, these findings have not been independently replicated. To assess these GWA findings in 4 large data sets of families affected by AD. Follow-up of genetic association findings in previous studies. Academic research. More than 4000 DNA samples from almost 1300 families affected with AD. Genetic association analysis testing of 4 GWA signals (rs7101429 [GAB2], rs7019241 [GOLM1], rs10519262 [chromosome 15q], and rs9886784 [chromosome 9p]) using family-based methods. In the combined analyses, only rs7101429 in GAB2 yielded significant evidence of association with the same allele as in the original GWA study (P =.002). The results are in agreement with recent meta-analyses of this and other GAB2 polymorphisms suggesting approximately a 30% decrease in risk for AD among carriers of the minor alleles. None of the other 3 tested loci showed consistent evidence for association with AD across the investigated data sets. GAB2 contains genetic variants that may lead to a modest change in the risk for AD. Despite these promising results, more data from independent samples are needed to better evaluate the potential contribution of GAB2 to AD risk in the general population.",Archives of neurology,"Schjeide, Brit-Maren M,Hooli, Basavaraj,Parkinson, Michele,Hogan, Meghan F,DiVito, Jason,Mullin, Kristina,Blacker, Deborah,Tanzi, Rudolph E,Bertram, Lars",Alzheimer Disease/genetics,"ad,AD,genetic association,genetic variant,polymorphisms,Alzheimer"
19217189,PMC2753870,2009,Ubiquitin associated protein 1 is a risk factor for frontotemporal lobar degeneration.,"Frontotemporal lobar degeneration (FTLD) is now recognised as a common form of early onset dementia. Up to 40% of patients have a family history of disease demonstrating a large genetic component to its etiology. Linkage to chromosome 9p21 has recently been reported in families with this disorder. We undertook a large scale two-stage linkage disequilibrium mapping approach of this region in the Manchester FTLD cohort. We identified association of ubiquitin associated protein 1 (UBAP1; OR 1.42 95% CI 1.08-1.88, P=0.013) with FTLD in this cohort and we replicated this finding in an additional two independent cohorts from the Netherlands (OR 1.33 95% CI 1.04-1.69, P=0.022), the USA (OR 1.4 95% CI 1.02-1.92, P=0.032) and a forth Spanish cohort approached significant association (OR 1.45 95% CI 0.97-2.17, P=0.064). However, we failed to replicate in a fifth cohort from London (OR 0.99 95% CI 0.72-1.37, P=0.989). Quantitative analysis of UBAP1 mRNA extracted from tissue from the Manchester cases demonstrated a significant reduction of expression from the disease-associated haplotype. In addition, we identified a case of familial FTLD that demonstrated colocalisation of UBAP1 and TDP-43 in the neuronal cytoplasmic inclusions in the brain of this individual. Our data for the first time identifies UBAP1 as a genetic risk factor for FTLD and suggests a mechanistic relationship between this protein and TDP-43.",Neurobiology of aging,"Rollinson, Sara,Rizzu, Patrizia,Sikkink, Stephen,Baker, Matthew,Halliwell, Nicola,Snowden, Julie,Traynor, Bryan J,Ruano, Dina,Cairns, Nigel,Rohrer, Jonathan D,Mead, Simon,Collinge, John,Rossor, Martin,Akay, Ela,Guerreiro, Rita,Rademakers, Rosa,Morrison, Karen E,Pastor, Pau,Alonso, Elena,Martinez-Lage, Pablo,Graff-Radford, Neil,Neary, David,Heutink, Peter,Mann, David M A,Van Swieten, John,Pickering-Brown, Stuart M",,"ad,dementia,AD,genetic risk"
19241460,PMC2713862,2009,Genomic convergence to identify candidate genes for Alzheimer disease on chromosome 10.,"A broad region of chromosome 10 (chr10) has engendered continued interest in the etiology of late-onset Alzheimer Disease (LOAD) from both linkage and candidate gene studies. However, there is a very extensive heterogeneity on chr10. We converged linkage analysis and gene expression data using the concept of genomic convergence that suggests that genes showing positive results across multiple different data types are more likely to be involved in AD. We identified and examined 28 genes on chr10 for association with AD in a Caucasian case-control dataset of 506 cases and 558 controls with substantial clinical information. The cases were all LOAD (minimum age at onset > or = 60 years). Both single marker and haplotypic associations were tested in the overall dataset and 8 subsets defined by age, gender, ApoE and clinical status. PTPLA showed allelic, genotypic and haplotypic association in the overall dataset. SORCS1 was significant in the overall data sets (p=0.0025) and most significant in the female subset (allelic association p=0.00002, a 3-locus haplotype had p=0.0005). Odds Ratio of SORCS1 in the female subset was 1.7 (p<0.0001). SORCS1 is an interesting candidate gene involved in the Abeta pathway. Therefore, genetic variations in PTPLA and SORCS1 may be associated and have modest effect to the risk of AD by affecting Abeta pathway. The replication of the effect of these genes in different study populations and search for susceptible variants and functional studies of these genes are necessary to get a better understanding of the roles of the genes in Alzheimer disease.",Human mutation,"Liang, Xueying,Slifer, Michael,Martin, Eden R,Schnetz-Boutaud, Nathalie,Bartlett, Jackie,Anderson, Brent,Züchner, Stephan,Gwirtsman, Harry,Gilbert, John R,Pericak-Vance, Margaret A,Haines, Jonathan L","Alzheimer Disease/genetics,Polymorphism, Single Nucleotide","late-onset,ad,apoe,gene expression,AD,Alzheimer"
19320626,PMC2772659,2009,Association of markers in the 3' region of the GluR5 kainate receptor subunit gene to alcohol dependence.,"Glutamate neurotransmission plays an important role in a variety of alcohol-related phenomena, including alcohol self-administration by both animals and humans. Because the risk for alcohol dependence (AD) is genetically influenced, genes encoding glutamate receptors are candidates to contribute to the risk for AD. We examined the role of variation in the 3' region of GRIK1, the gene that encodes the GluR5 receptor subunit of the kainic acid glutamate receptor, on risk for AD. We focused specifically on this gene because topiramate, a glutamate modulator that binds to the GluR5 subunit, has shown robust efficacy in the treatment of AD. We genotyped 7 single nucleotide polymorphisms (SNPs) in the 3'-half of GRIK1, which includes 3 differentially spliced exons, in a sample of EA control subjects (n = 507) and subjects with AD (n = 1,057). We found nominally significant evidence of association to AD for 3 SNPs (rs2832407 in intron 9, rs2186305 in intron 17, and rs2832387 in the 3'UTR). Empirical p-value estimation revealed that only rs2832407 was significantly associated to phenotype (p = 0.043). These findings provide support for the hypothesis that variation in the 3' portion of the gene encoding the GluR5 kainate receptor subunit contributes to the risk for AD. Further research is needed to ascertain whether this SNP is itself functional or whether the association reflects linkage disequilibrium with functional variation elsewhere in the gene and whether this SNP moderates topiramate's effects in the treatment of AD.","Alcoholism, clinical and experimental research","Kranzler, Henry R,Gelernter, Joel,Anton, Raymond F,Arias, Albert J,Herman, Aryeh,Zhao, Hongyu,Burian, Linda,Covault, Jonathan","Polymorphism, Single Nucleotide","ad,single nucleotide polymorphism,Humans,AD,SNP,polymorphisms"
