pmid,pmcid,year,title,abstract,journal,authors,MeSH terms used,Title & Abstract terms used
18780302,PMC2751631,2009,Association studies of 22 candidate SNPs with late-onset Alzheimer's disease.,"Alzheimer's disease (AD) is a complex and multifactorial disease with the possible involvement of several genes. With the exception of the APOE gene as a susceptibility marker, no other genes have been shown consistently to be associated with late-onset AD (LOAD). A recent genome-wide association study of 17,343 gene-based putative functional single nucleotide polymorphisms (SNPs) found 19 significant variants, including 3 linked to APOE, showing association with LOAD (Hum Mol Genet 2007; 16:865-873). We have set out to replicate the 16 new significant associations in a large case-control cohort of American Whites. Additionally, we examined six variants present in positional and/or biological candidate genes for AD. We genotyped the 22 SNPs in up to 1,009 Caucasian Americans with LOAD and up to 1,010 age-matched healthy Caucasian Americans, using 5' nuclease assays. We did not observe a statistically significant association between the SNPs and the risk of AD, either individually or stratified by APOE. Our data suggest that the association of the studied variants with LOAD risk, if it exists, is not statistically significant in our sample.","American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics","Figgins, Jessica A,Minster, Ryan L,Demirci, F Yesim,Dekosky, Steven T,Kamboh, M Ilyas","Alzheimer Disease/genetics,Polymorphism, Single Nucleotide","genome-wide,AD,apoe,single nucleotide polymorphism,Alzheimer,SNP,polymorphisms,late-onset,genome-wide association,ad"
18853455,PMC2793088,2009,Whole genome survey of coding SNPs reveals a reproducible pathway determinant of Parkinson disease.,"It is quickly becoming apparent that situating human variation in a pathway context is crucial to understanding its phenotypic significance. Toward this end, we have developed a general method for finding pathways associated with traits that control for pathway size. We have applied this method to a new whole genome survey of coding SNP variation in 187 patients afflicted with Parkinson disease (PD) and 187 controls. We show that our dataset provides an independent replication of the axon guidance association recently reported by Lesnick et al. [PLoS Genet 2007;3:e98], and also indicates that variation in the ubiquitin-mediated proteolysis and T-cell receptor signaling pathways may predict PD susceptibility. Given this result, it is reasonable to hypothesize that pathway associations are more replicable than individual SNP associations in whole genome association studies. However, this hypothesis is complicated by a detailed comparison of our dataset to the second recent PD association study by Fung et al. [Lancet Neurol 2006;5:911-916]. Surprisingly, we find that the axon guidance pathway does not rank at the very top of the Fung dataset after controlling for pathway size. More generally, in comparing the studies, we find that SNP frequencies replicate well despite technologically different assays, but that both SNP and pathway associations are globally uncorrelated across studies. We thus have a situation in which an association between axon guidance pathway variation and PD has been found in 2 out of 3 studies. We conclude by relating this seeming inconsistency to the molecular heterogeneity of PD, and suggest future analyses that may resolve such discrepancies.",Human mutation,"Srinivasan, Balaji S,Doostzadeh, Jaleh,Absalan, Farnaz,Mohandessi, Sharareh,Jalili, Roxana,Bigdeli, Saharnaz,Wang, Justin,Mahadevan, Jaydev,Lee, Caroline L G,Davis, Ronald W,William Langston, J,Ronaghi, Mostafa","Genome-Wide Association Study,Parkinson Disease/genetics,Polymorphism, Single Nucleotide","SNP,Parkinson Disease"
18985386,PMC2627511,2009,Genomewide association study for susceptibility genes contributing to familial Parkinson disease.,"Five genes have been identified that contribute to Mendelian forms of Parkinson disease (PD); however, mutations have been found in fewer than 5% of patients, suggesting that additional genes contribute to disease risk. Unlike previous studies that focused primarily on sporadic PD, we have performed the first genomewide association study (GWAS) in familial PD. Genotyping was performed with the Illumina HumanCNV370Duo array in 857 familial PD cases and 867 controls. A logistic model was employed to test for association under additive and recessive modes of inheritance after adjusting for gender and age. No result met genomewide significance based on a conservative Bonferroni correction. The strongest association result was with SNPs in the GAK/DGKQ region on chromosome 4 (additive model: p = 3.4 x 10(-6); OR = 1.69). Consistent evidence of association was also observed to the chromosomal regions containing SNCA (additive model: p = 5.5 x 10(-5); OR = 1.35) and MAPT (recessive model: p = 2.0 x 10(-5); OR = 0.56). Both of these genes have been implicated previously in PD susceptibility; however, neither was identified in previous GWAS studies of PD. Meta-analysis was performed using data from a previous case-control GWAS, and yielded improved p values for several regions, including GAK/DGKQ (additive model: p = 2.5 x 10(-7)) and the MAPT region (recessive model: p = 9.8 x 10(-6); additive model: p = 4.8 x 10(-5)). These data suggest the identification of new susceptibility alleles for PD in the GAK/DGKQ region, and also provide further support for the role of SNCA and MAPT in PD susceptibility.",Human genetics,"Pankratz, Nathan,Wilk, Jemma B,Latourelle, Jeanne C,DeStefano, Anita L,Halter, Cheryl,Pugh, Elizabeth W,Doheny, Kimberly F,Gusella, James F,Nichols, William C,Foroud, Tatiana,Myers, Richard H","Parkinson Disease/genetics,Polymorphism, Single Nucleotide,tau Proteins/genetics","meta-analysis,AD,GWAS,SNP,ad,Parkinson Disease"
19035514,PMC3062902,2009,Evidence supporting a role for the calcium-sensing receptor in Alzheimer disease.,"The calcium-sensing receptor (CASR) is a G-protein coupled, transmembrane receptor that responds to changes in Ca(2+) levels. We hypothesized that the CASR could have a role in Alzheimer disease (AD) given expression of the CASR in brain, knowledge that calcium dysregulation promotes susceptibility to neuronal cell damage, the important role that the CASR plays in calcium regulation, and the fact that systemic calcium homeostasis and G-protein signal transduction are altered in AD patients. To investigate the association of CASR variation in AD susceptibility, we genotyped a polymorphic dinucleotide repeat marker within intron 4, one SNP within the promoter region and three non-synonymous SNPs within exon 7 of the CASR gene and tested for association analysis, using a well-characterized cohort of AD cases (n = 692) and controls (n = 435). The dinucleotide repeat polymorphism was significantly associated with AD status (OR = 1.62; 95% CI: 1.27-2.07, P = 0.00037, Bonferroni corrected P = 0.0011) and the three non-synonymous SNP haplotype was boarderline associated with AD status (P = 0.032, Bonferroni corrected P = 0.096). Stratifying by APOE4 allele carrier status revealed that the significant association was only in non-APOE4 carriers (OR of 1.90; 95% CI: 1.37-2.62, P = 0.0001). We also investigated whether apoE or beta amyloid could activate the calcium-sensing receptor. The receptor activation assays revealed that apoE as well as beta amyloid activated the CASR and that the level of activation appeared to be isoform dependent for apoE. These data support our hypothesis that the CASR has a role in AD susceptibility, particularly in individuals without an APOE4 allele.","American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics","Conley, Yvette P,Mukherjee, Ankur,Kammerer, Candace,DeKosky, Steven T,Kamboh, M Ilyas,Finegold, David N,Ferrell, Robert E","Alzheimer Disease/genetics,Polymorphism, Single Nucleotide","AD,apoe,SNP,Alzheimer,ad"
19134182,PMC2642772,2009,MegaSNPHunter: a learning approach to detect disease predisposition SNPs and high level interactions in genome wide association study.,"The interactions of multiple single nucleotide polymorphisms (SNPs) are highly hypothesized to affect an individual's susceptibility to complex diseases. Although many works have been done to identify and quantify the importance of multi-SNP interactions, few of them could handle the genome wide data due to the combinatorial explosive search space and the difficulty to statistically evaluate the high-order interactions given limited samples. Three comparative experiments are designed to evaluate the performance of MegaSNPHunter. The first experiment uses synthetic data generated on the basis of epistasis models. The second one uses a genome wide study on Parkinson disease (data acquired by using Illumina HumanHap300 SNP chips). The third one chooses the rheumatoid arthritis study from Wellcome Trust Case Control Consortium (WTCCC) using Affymetrix GeneChip 500K Mapping Array Set. MegaSNPHunter outperforms the best solution in this area and reports many potential interactions for the two real studies. The experimental results on both synthetic data and two real data sets demonstrate that our proposed approach outperforms the best solution that is currently available in handling large-scale SNP data both in terms of speed and in terms of detection of potential interactions that were not identified before. To our knowledge, MegaSNPHunter is the first approach that is capable of identifying the disease-associated SNP interactions from WTCCC studies and is promising for practical disease prognosis.",BMC bioinformatics,"Wan, Xiang,Yang, Can,Yang, Qiang,Xue, Hong,Tang, Nelson L S,Yu, Weichuan","Genome-Wide Association Study,Parkinson Disease/genetics,Polymorphism, Single Nucleotide","SNP,polymorphisms,single nucleotide polymorphism,Parkinson Disease"
19241460,PMC2713862,2009,Genomic convergence to identify candidate genes for Alzheimer disease on chromosome 10.,"A broad region of chromosome 10 (chr10) has engendered continued interest in the etiology of late-onset Alzheimer Disease (LOAD) from both linkage and candidate gene studies. However, there is a very extensive heterogeneity on chr10. We converged linkage analysis and gene expression data using the concept of genomic convergence that suggests that genes showing positive results across multiple different data types are more likely to be involved in AD. We identified and examined 28 genes on chr10 for association with AD in a Caucasian case-control dataset of 506 cases and 558 controls with substantial clinical information. The cases were all LOAD (minimum age at onset > or = 60 years). Both single marker and haplotypic associations were tested in the overall dataset and 8 subsets defined by age, gender, ApoE and clinical status. PTPLA showed allelic, genotypic and haplotypic association in the overall dataset. SORCS1 was significant in the overall data sets (p=0.0025) and most significant in the female subset (allelic association p=0.00002, a 3-locus haplotype had p=0.0005). Odds Ratio of SORCS1 in the female subset was 1.7 (p<0.0001). SORCS1 is an interesting candidate gene involved in the Abeta pathway. Therefore, genetic variations in PTPLA and SORCS1 may be associated and have modest effect to the risk of AD by affecting Abeta pathway. The replication of the effect of these genes in different study populations and search for susceptible variants and functional studies of these genes are necessary to get a better understanding of the roles of the genes in Alzheimer disease.",Human mutation,"Liang, Xueying,Slifer, Michael,Martin, Eden R,Schnetz-Boutaud, Nathalie,Bartlett, Jackie,Anderson, Brent,Züchner, Stephan,Gwirtsman, Harry,Gilbert, John R,Pericak-Vance, Margaret A,Haines, Jonathan L","Alzheimer Disease/genetics,Polymorphism, Single Nucleotide","AD,apoe,late-onset,Alzheimer,gene expression,ad"
19374686,PMC3822518,2009,RXRA gene variations influence Alzheimer's disease risk and cholesterol metabolism.,"Cholesterol metabolism is altered in Alzheimer's disease (AD). The nuclear hormone receptor Retinoic X Receptor a (RXRa) is a member of the nuclear ligand-activated transcription factor family. RXRs are key regulators of cholesterol synthesis and thus cholesterol metabolism. We performed a systematic screen for gene variants in the RXRA gene. The effect of these gene variants on the risk of AD was investigated in 405 AD patients (mean age: 74.27 +/- 9.37 years; female 78.6%) and 347 controls (mean age: 73.26 +/- 8.37 years; female 57.2%). Furthermore, the influence of RXRA gene variants on CSF and plasma levels of cholesterol, lathosterol and 24S-hydroxycholesterol were evaluated. One of the identified seven SNPs in RXRA influenced AD risk in our single marker analysis (rs3132293: P= 0.006). Haplotype analysis identified a three-marker haplotype (TGC) consisting of rs3118570, rs1536475 and rs3132293, which decreased the risk of AD (P= 0.009). The single marker rs3132293 (P= 0.026) and the TGC haplotype (P= 0.026) influenced CSF lathosterol levels in non-demented controls, and cholesterol levels in the combined sample comprising AD patients and controls (Rs3132293: P= 0.050; TGC haplotype: P= 0.035). 24S-Hydroxycholesterol CSF and plasma levels were also influenced by rs3132293 (CSF: P= 0.004; plasma: P= 0.001) and the TGC haplotype (CSF: P= 0.004; plasma: P= 0.002); this effect was most pronounced in AD patients (rs3132293: CSF: P= 0.009, plasma: P= 0.002; TGC haplotype: CSF: P= 0.019, plasma: P= 0.005). Our results suggest that RXRA gene variants might act as risk factor for AD via an influence on cerebral cholesterol metabolism.",Journal of cellular and molecular medicine,"Kölsch, Heike,Lütjohann, Dieter,Jessen, Frank,Popp, Julius,Hentschel, Frank,Kelemen, Peter,Friedrichs, Silvia,Maier, T A Wolfgang,Heun, Reinhard","Alzheimer Disease/genetics,Polymorphism, Single Nucleotide","Alzheimer,SNP,AD,ad"
19668339,PMC2719581,2009,Hippocampal atrophy as a quantitative trait in a genome-wide association study identifying novel susceptibility genes for Alzheimer's disease.,"With the exception of APOE epsilon4 allele, the common genetic risk factors for sporadic Alzheimer's Disease (AD) are unknown. We completed a genome-wide association study on 381 participants in the ADNI (Alzheimer's Disease Neuroimaging Initiative) study. Samples were genotyped using the Illumina Human610-Quad BeadChip. 516,645 unique Single Nucleotide Polymorphisms (SNPs) were included in the analysis following quality control measures. The genotype data and raw genetic data are freely available for download (LONI, http://www.loni.ucla.edu/ADNI/Data/). Two analyses were completed: a standard case-control analysis, and a novel approach using hippocampal atrophy measured on MRI as an objectively defined, quantitative phenotype. A General Linear Model was applied to identify SNPs for which there was an interaction between the genotype and diagnosis on the quantitative trait. The case-control analysis identified APOE and a new risk gene, TOMM40 (translocase of outer mitochondrial membrane 40), at a genome-wide significance level of < or =10(-6) (10(-11) for a haplotype). TOMM40 risk alleles were approximately twice as frequent in AD subjects as controls. The quantitative trait analysis identified 21 genes or chromosomal areas with at least one SNP with a p-value < or =10(-6), which can be considered potential ""new"" candidate loci to explore in the etiology of sporadic AD. These candidates included EFNA5, CAND1, MAGI2, ARSB, and PRUNE2, genes involved in the regulation of protein degradation, apoptosis, neuronal loss and neurodevelopment. Thus, we identified common genetic variants associated with the increased risk of developing AD in the ADNI cohort, and present publicly available genome-wide data. Supportive evidence based on case-control studies and biological plausibility by gene annotation is provided. Currently no available sample with both imaging and genetic data is available for replication. Using hippocampal atrophy as a quantitative phenotype in a genome-wide scan, we have identified candidate risk genes for sporadic Alzheimer's disease that merit further investigation.",PloS one,"Potkin, Steven G,Guffanti, Guia,Lakatos, Anita,Turner, Jessica A,Kruggel, Frithjof,Fallon, James H,Saykin, Andrew J,Orro, Alessandro,Lupoli, Sara,Salvi, Erika,Weiner, Michael,Macciardi, Fabio","Alzheimer Disease/genetics,Genome-Wide Association Study,Polymorphism, Single Nucleotide","genome-wide,AD,apoe,genetic variant,genetic risk,single nucleotide polymorphism,Alzheimer,SNP,polymorphisms,Risk Factors,genome-wide association,ad"
19997636,PMC2780722,2009,The role of copy number variation in susceptibility to amyotrophic lateral sclerosis: genome-wide association study and comparison with published loci.,"The genetic contribution to sporadic amyotrophic lateral sclerosis (ALS) has not been fully elucidated. There are increasing efforts to characterise the role of copy number variants (CNVs) in human diseases; two previous studies concluded that CNVs may influence risk of sporadic ALS, with multiple rare CNVs more important than common CNVs. A little-explored issue surrounding genome-wide CNV association studies is that of post-calling filtering and merging of raw CNV calls. We undertook simulations to define filter thresholds and considered optimal ways of merging overlapping CNV calls for association testing, taking into consideration possibly overlapping or nested, but distinct, CNVs and boundary estimation uncertainty. In this study we screened Illumina 300K SNP genotyping data from 730 ALS cases and 789 controls for copy number variation. Following quality control filters using thresholds defined by simulation, a total of 11321 CNV calls were made across 575 cases and 621 controls. Using region-based and gene-based association analyses, we identified several loci showing nominally significant association. However, the choice of criteria for combining calls for association testing has an impact on the ranking of the results by their significance. Several loci which were previously reported as being associated with ALS were identified here. However, of another 15 genes previously reported as exhibiting ALS-specific copy number variation, only four exhibited copy number variation in this study. Potentially interesting novel loci, including EEF1D, a translation elongation factor involved in the delivery of aminoacyl tRNAs to the ribosome (a process which has previously been implicated in genetic studies of spinal muscular atrophy) were identified but must be treated with caution due to concerns surrounding genomic location and platform suitability. Interpretation of CNV association findings must take into account the effects of filtering and combining CNV calls when based on early genome-wide genotyping platforms and modest study sizes.",PloS one,"Wain, Louise V,Pedroso, Inti,Landers, John E,Breen, Gerome,Shaw, Christopher E,Leigh, P Nigel,Brown, Robert H,Tobin, Martin D,Al-Chalabi, Ammar","Amyotrophic Lateral Sclerosis/genetics,Genome-Wide Association Study","genome-wide,AD,SNP,Amyotrophic Lateral Sclerosis,genome-wide association,ad,copy number variant"
20035503,PMC4034432,2009,Single-cell expression profiling of dopaminergic neurons combined with association analysis identifies pyridoxal kinase as Parkinson's disease gene.,"The etiology of Parkinson disease (PD) is complex and multifactorial, with hereditary and environmental factors contributing. Monogenic forms have provided molecular clues to disease mechanisms but genetic modifiers of idiopathic PD are still to be determined. We carried out whole-genome expression profiling of isolated human substantia nigra (SN) neurons from patients with PD vs. controls followed by association analysis of tagging single-nucleotide polymorphisms (SNPs) in differentially regulated genes. Association was investigated in a German PD sample and confirmed in Italian and British cohorts. We identified four differentially expressed genes located in PD candidate pathways, ie, MTND2 (mitochondrial, p = 7.14 x 10(-7)), PDXK (vitamin B6/dopamine metabolism, p = 3.27 x 10(-6)), SRGAP3 (axon guidance, p = 5.65 x 10(-6)), and TRAPPC4 (vesicle transport, p = 5.81 x 10(-6)). We identified a DNA variant (rs2010795) in PDXK associated with an increased risk of PD in the German cohort (p = 0.00032). This association was confirmed in the British (p = 0.028) and Italian (p = 0.0025) cohorts individually and reached a combined value of p = 1.2 x 10(-7) (odds ratio [OR], 1.3; 95% confidence interval [CI], 1.18-1.44). We provide an example of how microgenomic genome-wide expression studies in combination with association analysis can aid to identify genetic modifiers in neurodegenerative disorders. The detection of a genetic variant in PDXK, together with evidence accumulating from clinical studies, emphasize the impact of vitamin B6 status and metabolism on disease risk and therapy in PD.",Annals of neurology,"Elstner, Matthias,Morris, Christopher M,Heim, Katharina,Lichtner, Peter,Bender, Andreas,Mehta, Divya,Schulte, Claudia,Sharma, Manu,Hudson, Gavin,Goldwurm, Stefano,Giovanetti, Alessandro,Zeviani, Massimo,Burn, David J,McKeith, Ian G,Perry, Robert H,Jaros, E,Krüger, Rejko,Wichmann, H-Erich,Schreiber, Stefan,Campbell, Harry,Wilson, James F,Wright, Alan F,Dunlop, Malcolm,Pistis, Giorgio,Toniolo, Daniela,Chinnery, Patrick F,Gasser, Thomas,Klopstock, Thomas,Meitinger, Thomas,Prokisch, Holger,Turnbull, Douglass M","Parkinson Disease/genetics,Polymorphism, Single Nucleotide","genome-wide,genetic variant,SNP,polymorphisms,Parkinson Disease"
