pmid,pmcid,year,title,abstract,journal,authors,MeSH terms used,Title & Abstract terms used
18484081,PMC4130207,2009,Polymorphisms in the GRIA1 gene region in psychotic bipolar disorder.,"We reported previously a significant linkage signal between psychotic bipolar disorder (BP) and microsatellite markers on chromosome 5q31-34 in the National Institute of Mental Health Bipolar Genetics Initiative (NIMH-BPGI) data set, Wave 1. In an attempt to fine-map this linkage signal we genotyped 1,134 single nucleotide polymorphisms (SNPs) under the linkage peak in 23 informative families (131 individuals) with evidence of linkage. We tested family based association in the presence of linkage with the computer software package FBAT. The most significant association in these families was with a SNP in the second intron of GRIA1 (alpha-amino-3-hydroxy-5-methyl-4-isoxazole proprionic acid (AMPA) subunit 1 receptor gene) (rs490922, Z-score = 3.3, P = 0.001). The analysis of 37 additional families with psychotic BP from NIMH-BPGI data sets, Waves 2, 3, and 4 revealed a signal at a SNP in intron 5 of the GRIA1 gene (rs4385264, Z-score = 3.2, P-value = 0.002). A combined analysis of all 60 families continued to support evidence for association of GRIA1 with psychotic BP; however, individual SNPs could not be replicated across datasets. The AMPA1 receptor has been shown to influence cognitive function, such as working memory and reward learning. Our findings suggest that variations in this receptor may contribute to the pathophysiology of BP with psychotic features in some families.","American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics","Kerner, Berit,Jasinska, Anna J,DeYoung, Joseph,Almonte, Maricel,Choi, Oi-Wa,Freimer, Nelson B","Polymorphism, Single Nucleotide","single nucleotide polymorphism,polymorphisms,cognitive,SNP,chromosome,linkage,AD,genotype"
18971939,PMC2635550,2009,CD226 Gly307Ser association with multiple autoimmune diseases.,"Genome-wide association studies provide insight into multigenic diseases through the identification of susceptibility genes and etiological pathways. In addition, the identification of shared variants among autoimmune disorders provides insight into common disease pathways. We previously reported an association of a nonsynonymous single nucleotide polymorphism (SNP) rs763361/Gly307Ser in the immune response gene CD226 on chromosome 18q22 with type 1 diabetes (T1D) susceptibility. Here, we report efforts toward identifying the causal variant by exonic resequencing and tag SNP mapping of the 18q22 region in both T1D and multiple sclerosis (MS). In addition to the analysis of newly available samples in T1D (2088 cases and 3289 controls) and autoimmune thyroid disease (AITD) (821 cases and 1920 controls), resulting in strong support for the Ser(307) association with T1D (P=3.46 x 10(-9)) and continued potential evidence for AITD (P=0.0345), we provide evidence for association of Gly307Ser with MS (P=4.20 x 10(-4)) and rheumatoid arthritis (RA) (P=0.017). The Ser(307) allele of rs763361 in exon 7 of CD226 predisposes to T1D, MS, and possibly AITD and RA, and based on the tag SNP analysis, could be the causal variant.",Genes and immunity,"Hafler, J P,Maier, L M,Cooper, J D,Plagnol, V,Hinks, A,Simmonds, M J,Stevens, H E,Walker, N M,Healy, B,Howson, J M M,Maisuria, M,Duley, S,Coleman, G,Gough, S C L,Worthington, J,Kuchroo, V K,Wicker, L S,Todd, J A","Genome-Wide Association Study,Polymorphism, Single Nucleotide","single nucleotide polymorphism,sclerosis,genome-wide,SNP,chromosome,AD,genome-wide association"
19051289,PMC2708342,2009,"Association of AKT1 with verbal learning, verbal memory, and regional cortical gray matter density in twins.","AKT1, encoding the protein kinase B, has been associated with the genetic etiology of schizophrenia and bipolar disorder. However, minuscule data exist on the role of different alleles of AKT1 in measurable quantitative endophenotypes, such as cognitive abilities and neuroanatomical features, showing deviations in schizophrenia and bipolar disorder. We evaluated the contribution of AKT1 to quantitative cognitive traits and 3D high-resolution neuroanatomical images in a Finnish twin sample consisting of 298 twins: 61 pairs with schizophrenia (8 concordant), 31 pairs with bipolar disorder (5 concordant) and 65 control pairs matched for age, sex and demographics. An AKT1 allele defined by the SNP rs1130214 located in the UTR of the gene revealed association with cognitive traits related to verbal learning and memory (P = 0.0005 for a composite index). This association was further fortified by a higher degree of resemblance of verbal memory capacity in pairs sharing the rs1130214 genotype compared to pairs not sharing the genotype. Furthermore, the same allele was also associated with decreased gray matter density in medial and dorsolateral prefrontal cortex (P < 0.05). Our findings support the role of AKT1 in the genetic background of cognitive and anatomical features, known to be affected by psychotic disorders. The established association of the same allelic variant of AKT1 with both cognitive and neuroanatomical aberrations could suggest that AKT1 exerts its effect on verbal learning and memory via neural networks involving prefrontal cortex.","American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics","Pietiläinen, Olli P H,Paunio, Tiina,Loukola, Anu,Tuulio-Henriksson, Annamari,Kieseppä, Tuula,Thompson, Paul,Toga, Arthur W,van Erp, Theo G M,Silventoinen, Karri,Soronen, Pia,Hennah, William,Turunen, Joni A,Wedenoja, Juho,Palo, Outi M,Silander, Kaisa,Lönnqvist, Jouko,Kaprio, Jaakko,Cannon, Tyrone D,Peltonen, Leena",,"genotype,phenotype,cognitive,SNP"
19125193,PMC2607550,2009,IL2RA/CD25 gene polymorphisms: uneven association with multiple sclerosis (MS) and type 1 diabetes (T1D).,"IL-2 receptor (IL2R) alpha is the specific component of the high affinity IL2R system involved in the immune response and in the control of autoimmunity. Here we perform a replication and fine mapping of the IL2RA gene region analyzing 3 SNPs previously associated with multiple sclerosis (MS) and 5 SNPs associated with type 1 diabetes (T1D) in a collection of 798 MS patients and 927 matched Caucasian controls from the south of Spain. We observed association with MS in 6 of 8 SNPs. The rs1570538, at the 3'- UTR extreme of the gene, previously reported to have a weak association with MS, is replicated here (P = 0.032). The most associated T1D SNP (rs41295061) was not associated with MS in the present study. However, the rs35285258, belonging to another independent group of SNPs associated with T1D, showed the maximal association in this study but different risk allele. We replicated the association of only one (rs2104286) of the two IL2RA SNPs identified in the recently performed genome-wide association study of MS. These findings confirm and extend the association of this gene with MS and reveal a genetic heterogeneity of the associated polymorphisms and risk alleles between MS and T1D suggesting different immunopathological roles of IL2RA in these two diseases.",PloS one,"Alcina, Antonio,Fedetz, María,Ndagire, Dorothy,Fernández, Oscar,Leyva, Laura,Guerrero, Miguel,Abad-Grau, María M,Arnal, Carmen,Delgado, Concepción,Lucas, Miguel,Izquierdo, Guillermo,Matesanz, Fuencisla","Polymorphism, Single Nucleotide","sclerosis,polymorphisms,genome-wide,SNP,genome-wide association"
19160447,PMC3918450,2009,Family-based association of YWHAH in psychotic bipolar disorder.,"YWHAH is a positional and functional candidate gene for both schizophrenia and bipolar disorder (BP). This gene has been previously shown to be associated with both disorders, and the chromosome location (22q12.3) has been repeatedly implicated in linkage studies for these disorders. It codes for the eta subtype of the 14-3-3 protein family, is expressed mainly in brain, and is involved in HPA axis regulation. We investigated the association of YWHAH with BP in a large sample, consisting of 1211 subjects from 318 nuclear families including 554 affected offspring. We tested for association with the standard BP phenotype as well as subtypes defined by psychotic and mood-incongruent features. We genotyped five tag SNPs and the (GCCTGCA)(n) polymorphic locus present in this gene. Using a family-based association test, we found that rs2246704 was associated with BP (OR 1.31, P = 0.03) and psychotic BP (OR = 1.66, P = 0.002). The polymorphic repeat and two other SNPs were also modestly associated with psychotic BP. We have provided additional evidence for association of variants in YWHAH with major mental illness. Additional association analyses of larger sample sets will be required to clarify the role of YWHAH in schizophrenia and BP. The use of clinical sub-phenotypes such as psychotic features or other potential schizophrenia/BP overlap variables including cognitive abnormalities and poor functioning might shed further light on the potential subtypes of illness most closely associated with genetic variation in YWHAH.","American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics","Grover, Deepak,Verma, Ranjana,Goes, Fernando S,Mahon, Pamela L Belmonte,Gershon, Elliot S,McMahon, Francis J,Potash, James B,Gershon, Elliot S,McMahon, Francis J,Potash, James B","Polymorphism, Single Nucleotide","cognitive,SNP,linkage,chromosome,AD,genotype,phenotype"
19221116,PMC2667286,2009,Use of a genetic isolate to identify rare disease variants: C7 on 5p associated with MS.,"Large case-control genome-wide association studies primarily expose common variants contributing to disease pathogenesis with modest effects. Thus, alternative strategies are needed to tackle rare, possibly more penetrant alleles. One strategy is to use special populations with a founder effect and isolation, resulting in allelic enrichment. For multiple sclerosis such a unique setting is reported in Southern Ostrobothnia in Finland, where the prevalence and familial occurrence of multiple sclerosis (MS) are exceptionally high. Here, we have studied one of the best replicated MS loci, 5p, and monitored for haplotypes shared among 72 regional MS cases, the majority of which are genealogically distantly related. The haplotype analysis over the 45 Mb region, covering the linkage peak identified in Finnish MS families, revealed only modest association at IL7R (P = 0.04), recently implicated in MS, whereas most significant association was found with one haplotype covering the C7-FLJ40243 locus (P = 0.0001), 5.1 Mb centromeric of IL7R. The finding was validated in an independent sample from the isolate and resulted in an odds ratio of 2.73 (P = 0.000003) in the combined data set. The identified relatively rare risk haplotype contains C7 (complement component 7), an important player of the innate immune system. Suggestive association with alleles of the region was seen also in more heterogeneous populations. Interestingly, also the complement activity correlated with the identified risk haplotype. These results suggest that the MS predisposing locus on 5p is more complex than assumed and exemplify power of population isolates in the identification of rare disease alleles.",Human molecular genetics,"Kallio, Suvi P,Jakkula, Eveliina,Purcell, Shaun,Suvela, Minna,Koivisto, Keijo,Tienari, Pentti J,Elovaara, Irina,Pirttilä, Tuula,Reunanen, Mauri,Bronnikov, Denis,Viander, Markku,Meri, Seppo,Hillert, Jan,Lundmark, Frida,Harbo, Hanne F,Lorentzen, Aslaug R,De Jager, Philip L,Daly, Mark J,Hafler, David A,Palotie, Aarno,Peltonen, Leena,Saarela, Janna",Genome-Wide Association Study,"sclerosis,pathogenesis,haplotype,genome-wide,linkage,genome-wide association"
19412524,PMC2669883,2009,Epistatic module detection for case-control studies: a Bayesian model with a Gibbs sampling strategy.,"The detection of epistatic interactive effects of multiple genetic variants on the susceptibility of human complex diseases is a great challenge in genome-wide association studies (GWAS). Although methods have been proposed to identify such interactions, the lack of an explicit definition of epistatic effects, together with computational difficulties, makes the development of new methods indispensable. In this paper, we introduce epistatic modules to describe epistatic interactive effects of multiple loci on diseases. On the basis of this notion, we put forward a Bayesian marker partition model to explain observed case-control data, and we develop a Gibbs sampling strategy to facilitate the detection of epistatic modules. Comparisons of the proposed approach with three existing methods on seven simulated disease models demonstrate the superior performance of our approach. When applied to a genome-wide case-control data set for Age-related Macular Degeneration (AMD), the proposed approach successfully identifies two known susceptible loci and suggests that a combination of two other loci -- one in the gene SGCD and the other in SCAPER -- is associated with the disease. Further functional analysis supports the speculation that the interaction of these two genetic variants may be responsible for the susceptibility of AMD. When applied to a genome-wide case-control data set for Parkinson's disease, the proposed method identifies seven suspicious loci that may contribute independently to the disease.",PLoS genetics,"Tang, Wanwan,Wu, Xuebing,Jiang, Rui,Li, Yanda","Genome-Wide Association Study,Parkinson Disease/genetics,Polymorphism, Single Nucleotide","genetic variant,parkinson,genome-wide,genome-wide association,GWAS"
19428448,PMC2720516,2009,The Mn-superoxide dismutase single nucleotide polymorphism rs4880 and the glutathione peroxidase 1 single nucleotide polymorphism rs1050450 are associated with aging and longevity in the oldest old.,"The free radical theory of aging states that reactive oxygen species (ROS) play a key role in age-related accumulation of cellular damage, and consequently influence aging and longevity. Therefore, variation in genes encoding proteins protecting against ROS could be expected to influence variation in aging and life span. The rs4880 and rs1050450 SNPs in the manganese superoxide dismutase (MnSOD) and glutathione peroxidase 1 (GPX1) genes, respectively, are associated with age-related diseases and appear to affect the activities of the encoded variant proteins. In this study we genotyped these SNPs in 1650 individuals from the Danish 1905 cohort (follow-up time: 1998-2008, age at intake: 92-93 years, number of deaths: 1589 (96.3%)) and investigated the association with aging and longevity. We found decreased mortality of individuals holding either the MnSOD rs4880 C or the GPX1 rs1050450 T alleles (HR (MnSOD(CC/CT))=0.91, P=0, p=0.002 and HR (GPX1(TT/TC))=0.93, p=0.008). Furthermore, a synergetic effect of the alleles was observed (HR=0.76, p=0.001). Finally, moderate positive associations with good self rated health, decreased disability and increased cognitive capacity were observed. Our results thus indicate that genetic variation in MnSOD and GPX1 may be associated with aging and longevity.",Mechanisms of ageing and development,"Soerensen, Mette,Christensen, Kaare,Stevnsner, Tinna,Christiansen, Lene","Polymorphism, Single Nucleotide","single nucleotide polymorphism,cognitive,SNP,AD,genotype"
19429005,PMC2684848,2009,Phactr2 and Parkinson's disease.,"Attempts at replicating the first genome-wide association study (GWAS) in Parkinson's disease (PD) have not successfully identified genetic risk factors. The present study reevaluates data from the first GWAS and focuses on the SNP (rs11155313, located in the Phactr2 gene) with the lowest P-value in the Tier 2 patient-control series. We employed four case-control series to examine the nominated SNP rs11155313 and identified association in US (OR: 1.39, P=0.032), Canadian (OR: 1.41, P=0.014) and Irish (OR: 1.44, P=0.034) patient-control series, but not in the Norwegian series (OR: 1.15, P=0.27). When combining all four series the observed trend was statistically significant (OR: 1.30, P<0.001). This study shows that reappraisal of publicly available results of GWAS may help nominate new risk factors for PD.",Neuroscience letters,"Wider, Christian,Lincoln, Sarah J,Heckman, Michael G,Diehl, Nancy N,Stone, Jeremy T,Haugarvoll, Kristoffer,Aasly, Jan O,Gibson, J Mark,Lynch, Timothy,Rajput, Alex,Rajput, Michele L,Uitti, Ryan J,Wszolek, Zbigniew K,Farrer, Matthew J,Ross, Owen A","Genome-Wide Association Study,Parkinson Disease/genetics,Polymorphism, Single Nucleotide","Risk Factors,parkinson,genetic risk,genome-wide,SNP,AD,genome-wide association,GWAS"
19492091,PMC2683930,2009,Gene-network analysis identifies susceptibility genes related to glycobiology in autism.,"The recent identification of copy-number variation in the human genome has opened up new avenues for the discovery of positional candidate genes underlying complex genetic disorders, especially in the field of psychiatric disease. One major challenge that remains is pinpointing the susceptibility genes in the multitude of disease-associated loci. This challenge may be tackled by reconstruction of functional gene-networks from the genes residing in these loci. We applied this approach to autism spectrum disorder (ASD), and identified the copy-number changes in the DNA of 105 ASD patients and 267 healthy individuals with Illumina Humanhap300 Beadchips. Subsequently, we used a human reconstructed gene-network, Prioritizer, to rank candidate genes in the segmental gains and losses in our autism cohort. This analysis highlighted several candidate genes already known to be mutated in cognitive and neuropsychiatric disorders, including RAI1, BRD1, and LARGE. In addition, the LARGE gene was part of a sub-network of seven genes functioning in glycobiology, present in seven copy-number changes specifically identified in autism patients with limited co-morbidity. Three of these seven copy-number changes were de novo in the patients. In autism patients with a complex phenotype and healthy controls no such sub-network was identified. An independent systematic analysis of 13 published autism susceptibility loci supports the involvement of genes related to glycobiology as we also identified the same or similar genes from those loci. Our findings suggest that the occurrence of genomic gains and losses of genes associated with glycobiology are important contributors to the development of ASD.",PloS one,"van der Zwaag, Bert,Franke, Lude,Poot, Martin,Hochstenbach, Ron,Spierenburg, Henk A,Vorstman, Jacob A S,van Daalen, Emma,de Jonge, Maretha V,Verbeek, Nienke E,Brilstra, Eva H,van 't Slot, Ruben,Ophoff, Roel A,van Es, Michael A,Blauw, Hylke M,Veldink, Jan H,Buizer-Voskamp, Jacobine E,Beemer, Frits A,van den Berg, Leonard H,Wijmenga, Cisca,van Amstel, Hans Kristian Ploos,van Engeland, Herman,Burbach, J Peter H,Staal, Wouter G",,"phenotype,cognitive,AD"
